stage,label,direction,lane_mask,requested_useful_bytes,encoded_transfer_bytes,sender_role,elapsed_ticks,timer_frequency_hz,elapsed_seconds,reported_legacy_bps,recomputed_encoded_ps_command_bps,recomputed_useful_ps_command_bps,measurement_class,diagnostic_only,eligible_for_scaling,source_path,source_sha256
P10-J,soak_00137_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2404224846,333333343,7.212674328832445,1163037.1229249595,1163037.1229249595,1163037.1229249595,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00138_4096_d0,F_TO_R,3,4096,4096,fixed,9801450,333333343,0.029404349147273873,1114392.970777181,1114392.970777181,1114392.970777181,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00139_65536_d1,R_TO_F,3,65536,65536,rotating,150628208,333333343,0.45188461089534626,1160225.3924097936,1160225.3924097936,1160225.3924097936,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00140_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2405157411,333333343,7.215472023751311,1162586.172101708,1162586.172101708,1162586.172101708,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00141_4096_d1,R_TO_F,3,4096,4096,rotating,9797301,333333343,0.02939190214763484,1114864.8983453708,1114864.8983453708,1114864.8983453708,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00142_65536_d0,F_TO_R,3,65536,65536,fixed,150630417,333333343,0.4518912378951541,1160208.3776664045,1160208.3776664045,1160208.3776664045,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00143_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2405170664,333333343,7.215511782750158,1162579.7660055545,1162579.7660055545,1162579.7660055545,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00144_4096_d0,F_TO_R,3,4096,4096,fixed,9798819,333333343,0.029396456147502772,1114692.1872344003,1114692.1872344003,1114692.1872344003,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00145_65536_d1,R_TO_F,3,65536,65536,rotating,150686348,333333343,0.4520590308902881,1159777.7373620071,1159777.7373620071,1159777.7373620071,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00146_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2405161851,333333343,7.215485343750925,1162584.025933207,1162584.025933207,1162584.025933207,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00147_4096_d1,R_TO_F,3,4096,4096,rotating,9797382,333333343,0.02939214514762779,1114855.681183402,1114855.681183402,1114855.681183402,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00148_65536_d0,F_TO_R,3,65536,65536,fixed,150681785,333333343,0.45204534189068507,1159812.8581685172,1159812.8581685172,1159812.8581685172,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
